Codice;Descrizione;Comune;Provincia;Indirizzo;Tipologia
1;Ex istituto "Berto Barbarani";Verona;VR;via B. Barbarani – via dello Zappatore;Fabbricato scolastico
2;Palazzo "Bevilacqua";Verona;VR;c.so Cavour – via Fratta – p.za e p.tta SS. Apostoli;Fabbricato scolastico
3;Palazzo "Riolfi Da Lisca";Verona;VR;Stradone S. Fermo – via Pallone – via S. Pietro In Carnario;Fabbricato scolastico
4;Ex Maternità provinciale (ex O.N.M.I. - brefotrofio/“Casa della pietà”);Verona;VR;via Giambattista Moschini – vicolo Coeli;Fabbricato scolastico
5;Istituto Tecnico Statale Industriale "Galileo Ferraris";Verona;VR;via del Pontiere – via dello Zapatore;Fabbricato scolastico
6;Liceo Scientifico Linguistico Statale “Nicolò Copernico” (ex Istituto Polivalente di Verona Est);Verona;VR;via Carlo Anti;Fabbricato scolastico
7;Ex Istituto "Antonio Maria Lorgna", attuale sede staccata dal Liceo Scientifico “G. Fracastoro”;Verona;VR;'località Ca'' di Cozzi';Fabbricato scolastico
8;Istituto Tecnico Economico Statale "Aldo Pasoli";Verona;VR;via Girolamo Dalla Corte;Fabbricato scolastico
9;Istituto Tecnico Economico Statale "Luigi Einaudi";Verona;VR;via San Giacomo;Fabbricato scolastico
10;Liceo Scientifico Statale "Galileo Galilei";Verona;VR;via S. Giacomo;Fabbricato scolastico
11;Istituto Tecnico Statale Industriale "Guglielmo Marconi";Verona;VR;piazzale Romano Guardini;Fabbricato scolastico
12;Istituto Tecnico Statale per Geometri "Cangrande della Scala";Verona;VR;corso Porta Nuova;Fabbricato scolastico
13;Ex scuola media "Alessandro Manzoni";Verona;VR;via Carlo Alberto;Fabbricato scolastico
14;'Porzione dell''ex scuola media "Gandhi"';Verona;VR;via Selinunte;Fabbricato scolastico
15;Ex ospedale "Giacomo Fracastoro";Verona;VR;frazione Chievo – via Aeroporto Angelo Berardi;Fabbricato scolastico
16;Compendio immobiliare denominato "Ex carri botte";Verona;VR;via Polveriera Vecchia;Fabbricato scolastico
17;Istituto di Istruzione Secondaria Superiore "Leonardo Da Vinci";Cerea;VR;Via Gandhi;Fabbricato scolastico
18;Succursale Istituto di Istruzione Secondaria Superiore “Marie Curie”;Bussolengo;VR;via gen. Carlo Alberto Dalla Chiesa;Fabbricato scolastico
19;Istituto di Istruzione Secondaria Superiore "Giovanni Da Silva – Matteo Ricci";Legnago;VR;quartiere Porto – località Spaltin Alto – via Nino Bixio;Fabbricato scolastico
20;Istituto di Istruzione Professionale “Medici”;Legnago;VR;quartiere Porto – località Spaltin Alto – via Nino Bixio;Fabbricato scolastico
21;Istituto di Istruzione Secondaria Superiore "Marco Minghetti";Legnago;VR;via M. Frattini;Fabbricato scolastico
22;Liceo Scientifico Statale "Antonio Maria Roveggio";Cologna Veneta;VR;via Verdi – via G. Rossini;Fabbricato scolastico
23;Istituto di Istruzione Secondaria Superiore "M.O. Luciano Dal Cero";S. Bonifacio;VR;via Fiume – via Piave – via Giovanni Giolitti;Fabbricato scolastico
24;Succursale Istituto Tecnico per Geometri "M.O. Luciano Dal Cero";S. Bonifacio;VR;via Nogarole;Fabbricato scolastico
25;Istituto di Istruzione Statale Superiore "Lorenzo Calabrese – Levi";S. Pietro In Cariano;VR;via Mara;Fabbricato scolastico
26;Liceo Scientifico Statale "Enrico Medi";Villafranca di Verona;VR;via Magenta;Fabbricato scolastico
27;Compendio scolastico sede degli istituti Statali di Istruzione Secondaria "C. Anti" ed “E. Bolisani”;Villafranca di Verona;VR;via Magenta – via Marsala;Fabbricato scolastico
28;Istituto di Istruzione Secondaria Superiore "Ettore Bolisani";Isola della Scala;VR;viale Rimembranza;Fabbricato scolastico
29;Istituto Statale di Istruzione Secondaria Superiore "Marie Curie";Garda;VR;via B. Barbarani – via Monte Baldo;Fabbricato scolastico
30;Istituto di Istruzione Secondaria Superiore "Stefani – Bentegodi";Buttapietra;VR;'località Bovolino – via dell''Agricoltura';Fabbricato scolastico
31;Ex istituto "San Davide" (quota di proprietà: 66,67%);Legnago;VR;Quartiere Porto – via Don Giovanni Bosco – via Giordano Bruno – via Principe Umberto;Fabbricato scolastico
32;Istituto Statale di Istruzione Secondaria Superiore  "Luigi Carnacina";Bardolino;VR;via Europa Unita – via dello Sport;Fabbricato scolastico
33;Istituto Professionale di Stato per i Servizi Alberghieri e della Ristorazione “Luigi Carnacina”;Valeggio Sul Mincio;VR;via dello Sport;Fabbricato scolastico
34;Porzione maggiore dell’Educandato Statale “Agli Angeli”;Verona;VR;via Cesare Battisti – via del Minatore;Fabbricato scolastico
35;Palazzetto sportivo;Buttapietra;VR;'località Bovolino – via dell''Agricoltura';Fabbricato scolastico
36;Azienda agricola ad uso didattico (comprensiva di corte rurale ed annesso fondo agricolo);Buttapietra;VR;'località Bovolino – via dell''Agricoltura';Fabbricato scolastico
37;'Terreno in dotazione all''I.I.S. “Stefani – Bentegodi” - Sede coordinata di S. Floriano di Valpolicella';San Pietro In Cariano;VR;frazione San Floriano di Valpolicella – via Omero Speri;Fabbricato scolastico
38;Palazzo "Scaligero" e palazzo "del Governo";Verona;VR;via S. Maria Antica – piazza dei Signori – c.so S. Anastasia – vicolo Cavalletto;Propria sede, ufficio, magazzino
39;'Loggia “Fra'' Giocondo”';Verona;VR;piazza dei Signori – via Fogge;Propria sede, ufficio, magazzino
40;Palazzo "Capuleti";Verona;VR;via Franceschine – l.ge Capuleti – via Montecchi – Mercuzio;Propria sede, ufficio, magazzino
41;Immobile sede del Settore Faunistico regionale e della Polizia provinciale;Verona;VR;via San Giacomo;Propria sede, ufficio, magazzino
42;Magazzino Servizio Contratti Pubblici;Verona;VR;via Golino – via L. Pasteur;Propria sede, ufficio, magazzino
43;Ufficio Scolastico Provinciale di Verona;Verona;VR;'località Ca'' di Cozzi – viale del Lavoro';Propria sede, ufficio, magazzino
44;Fabbicato adibito a deposito attrezzi e centro di raduno squadre manutenzioni viarie / magazzino;S. Pietro In Cariano;VR;frazione S. Floriano di Valpolicella – via della Pieve;Propria sede, ufficio, magazzino
45;Incubatoio ittiogenico;Bardolino;VR;località Mezzariva;Propria sede, ufficio, magazzino
46;Centro di raduno squadre manutenzioni viarie / magazzino;Tregnago;VR;via Carlo Cipolla;Propria sede, ufficio, magazzino
47;Centro di raduno squadre manutenzioni viarie / magazzino;Oppeano;VR;svincolo tra Strada Statale n. 434 e S.P. n. 44/a;Propria sede, ufficio, magazzino
48;Centro di raduno squadre manutenzioni viarie / magazzino;Grezzana;VR;Strada Provinciale n. 6 “Dei Lessini”;Propria sede, ufficio, magazzino
49;Centro di raduno squadre manutenzioni viarie / magazzino (proprietà limitata al solo fabbricato);Legnago;VR;frazione San Pietro di Legnago – sotto il viadotto su S.S. n. 434;Propria sede, ufficio, magazzino
50;Centro di raduno squadre manutenzioni viarie / magazzino;Sommacampagna;VR;adiacenze casello autostrada A4 – via Bussolengo;Propria sede, ufficio, magazzino
51;Centro di raduno squadre manutenzioni viarie / magazzino;Bosco Chiesanuova;VR;località Gonzi – Strada Provinciale n. 15;Propria sede, ufficio, magazzino
52;Deposito attrezzi manutenzioni viarie;S. Pietro In Cariano;VR;via G. Campostrini fraz. Pedemonte;Propria sede, ufficio, magazzino
53;Commissariato sezionale di Polizia;Verona;VR;via San Giacomo;Uso o finalità pubblica
54;Caserma Comando provinciale Vigili del Fuoco di Verona;Verona;VR;via Polveriera vecchia;Uso o finalità pubblica
55;Caserma Stazione Carabinieri;Pastrengo;VR;via Rovereto;Uso o finalità pubblica
56;Cabina di trasformazione energia elettrica adiacente caserma carabinieri “Pastrengo”;Verona;VR;'via Salvo D''Acquisto';Uso o finalità pubblica
57;Istituto Zooprofilattico Sperimentale delle Venezie;Verona;VR;via San Giacomo;Uso o finalità pubblica
58;Sacrario denominato “Ossario di Custoza”;Sommacampagna;VR;frazione Custoza – via Ossario;Uso o finalità pubblica
59;Fabbricato deposito attrezzi (ex fabbricato rurale);Bosco Chiesanuova;VR;via Aleardo Aleardi;Uso o finalità pubblica
60;Fabbricato sede della facoltà di SS.MM.NN. (quota del diritto di superficie perpetuo: 47,50%);Verona;VR;strada Le Grazie;Uso o finalità pubblica
61;Fabbricato denominato “Lente ospedaliera” (quota del diritto di superficie temporaneo: 47,50%);Verona;VR;piazzale Ludovico Antonio Scuro;Uso o finalità pubblica
62;Fabbricato denominato “Prolungamento del Biologico” (quota di proprietà: 47,50%);Verona;VR;strada Le Grazie;Uso o finalità pubblica
63;Fabbricato sede della facoltà di Economia (quota di proprietà: 47,50%);Verona;VR;'via dell''Artigliere – via Campofiore';Uso o finalità pubblica
64;Area cortilizia ad uso parcheggio autoveicoli;Verona;VR;via dello Zappatore;Uso o finalità pubblica
65;Parco giochi ad uso pubblico;Bosco Chiesanuova;VR;via Aleardo Aleardi;Uso o finalità pubblica
66;Terreno nella frazione Valdiporro adibito a centro sportivo (compreso fabbricato servizi, spogliatoi, ecc.);Bosco Chiesanuova;VR;frazione Valdiporro – via Barbarani;Uso o finalità pubblica
67;'Terreno sedime dell''impianto della pista sul ghiaccio';Bosco Chiesanuova;VR;località Spiazzi – via Aleardo Aleardi – largo Jenna;Uso o finalità pubblica
68;Bosco e prato;Roveré Veronese;VR;località Vajo e Beni Comuni;Uso o finalità pubblica
69;Fondo boschivo in Comune di Ferrara di Monte Baldo;Ferrara di Monte Baldo;VR;località Monte Cor;Uso o finalità pubblica
70;Deposito autobus con annessa palazzina alloggio e locali di servizio;Caprino Veronese;VR;via XXIV Maggio;Uso o finalità pubblica
71;Unità immobiliare sede dello storico “Caffè Dante”;Verona;VR;piazza dei Signori – via Fogge;Altro
72;Unità immobiliare a destinazione commerciale;Verona;VR;piazza dei Signori;Altro
73;Unità immobiliare a destinazione commerciale (bar);Verona;VR;via Fogge;Altro
74;Albergo Mazzanti;Verona;VR;via e vicoletto Mazzanti;Altro
75;Vano cabina elettrica, sito al piano interrato;Verona;VR;piazza dei Signori – via Mazzanti;Altro
76;'Immobile già sede dell''ex ristorante "Nuovo Marconi"';Verona;VR;via Fogge;Altro
77;Ex sede Archivio di Stato;Verona;VR;via Franceschine – via del Pontiere;Altro
78;N. 2 Fabbricati a schiera di civile abitazione nella frazione Marzana;Verona;VR;frazione Marzana - via Scuola Agraria;Altro
79;Ex alloggio di custodia della soppressa scuola agraria di Marzana;Verona;VR;frazione Marzana - via Scuola Agraria;Altro
80;'N. 2 alloggi presso l''ex Centro di Fecondazione Artificiale';Verona;VR;via Golino;Altro
81;'N. 2 ex fabbricati rurali presso l''ex Centro di Fecondazione Artificiale';Verona;VR;via Golino – via L. Pasteur;Altro
82;Ex alloggio comandante Polizia della Strada;Verona;VR;via San Giacomo;Altro
83;'Unità immobiliare ad uso uffici, nell''ambito di “Palazzo G. Franco”';Verona;VR;piazzaetta Capretto;Altro
84;'Autorimessa nell''ambito del condominio “Capretto”';Verona;VR;vicolo Stella;Altro
85;Vano cabina elettrica presso edificio condominiale;Verona;VR;frazione Quinto di Valpantena – via L. Da Quinto;Altro
86;Unità immobiliare presso “Palazzo Alcenago” (adiacenze);Verona;VR;via Fratta;Altro
87;Unità immobiliare ad uso residenziale mono famigliare;Verona;VR;via Polveriera Vecchia;Altro
88;Fabbricato dismesso privo di utilizzo;Verona;VR;via Polveriera Vecchia;Altro
89;Villa padronale in località "La Grola";S. Ambrogio di Valpolicella;VR;località La Grola - via Case Sparse Grolette;Altro
90;'Ex “Villa Eugenia” compresi parte dei fabbricati costituenti l''azienda agricola di sperimentazione';S. Pietro In Cariano;VR;frazione S. Floriano di Valpolicella – via della Pieve;Altro
91;Ex alloggio di custodia di villa "Ottolini - Lebrecht";S. Pietro In Cariano;VR;frazione S. Floriano di Valpolicella – via della Pieve;Altro
92;Villa Pariani;Malcesine;VR;località Sopri e Val di Sogno – via Gardesana n. 61;Altro
93;'Fabbricati vari nell''ambito dell''ex ospedale neuropsichiatrico provinciale di Ponton';S. Ambrogio di Valpolicella;VR;frazione Ponton – via Campagnon;Altro
94;Ex azienda agricola di sperimentazione di Ponton (comprensiva di ex fabbricato rurale e fondo agricolo annesso);S. Ambrogio di Valpolicella;VR;frazione Ponton – via Campagnon;Altro
95;Ex Fondo agricolo sperimentale;S. Pietro In Cariano;VR;frazione San Floriano di Valpolicella – via della Pieve;Altro
96;Centro sportivo;S. Pietro In Cariano;VR;frazione S. Floriano di Valpolicella – via Omero Speri;Altro
97;Ex autorimessa per autobus;Bosco Chiesanuova;VR;piazza G. Marconi;Altro
98;Ex colonia “Principi di Piemonte”, anche ex Istituto climatico permanente montano “Umberto Boggian” (quota di proprietà: 50%);Bosco Chiesanuova;VR;piazza degli Alpini – via Davide Menin;Altro
99;Ex Colonia marina permanente (quota di proprietà: 50%);Ceriale;SV;lungomare gen. Armando Diaz – via Schivatoia;Altro
100;Varie aree residuali nel quartiere Borgo Roma;Verona;VR;via Tunisi – via Comacchio – via Gibilrossa – via Bengasi – via S. Giacomo – p.le Ludovico Antonio Scuro – via Algeri – via Monterotondo;Altro
101;Fondo agricolo collinare nella frazione Marzana (comprensivo di piccolo manufatto per ricovero attrezzi);Verona;VR;frazione Marzana – via Scuola Agraria;Altro
102;Piccole aree cortilizie, adiacenti a palazzo “Bevilacqua”;Verona;VR;piazzetta SS. Apostoli;Altro
103;'Aree destinate a standards urbanistico, nell''ambito di lottizzazione edilizia, in corso di cessione al Comune di Verona';Verona;VR;frazione Quinto di Valpantena – via L. Da Quinto;Altro
104;Area residuale ex Strada provinciale “Verona – Bosco Chiesanuova”;Verona;VR;via Colonnello Fincato;Altro
105;Fondo boschivo in località Scandole;Bosco Chiesanuova;VR;località Scandole;Altro
106;Fondo boschivo in località Vergnana;Dolcé;VR;località Vergnana – S.S. n. 12;Altro
107;'Terreno di sedime e pertinenza dell''immobile della Regione Veneto sede del Settore Fitosanitario';Buttapietra;VR;'località Bovolino – via dell''Agricoltura';Altro
108;Scavi archeologici presso cd. “Isolato Dante”;Verona;VR;corso S. Anastasia – via Fogge – vicoletto Mazzanti;Altro
109;Terreni costituenti parte delle sponde arginali della risorgiva naturale denominata “Fossa Bova”;Verona;VR;'quartiere Ca'' di David – via Villa Broglie';Altro
110;Relitti stradali e aree residuali;Tutti i comuni del veronese;VR;;Altro
